email Count,x,y,latitude,longitude
282,643.0071763,1790.301906,48.9018386,2.257240421
390,633.5153581,907.6812434,48.90179825,2.23796979
287,630.0345342,1968.24222,48.90178345,2.261125468
87,624.9359324,1918.017979,48.90176177,2.2600289
280,624.3251638,1700.809056,48.90175918,2.255286486
286,623.0061706,1850.105197,48.90175357,2.258546132
277,617.9040994,1633.740945,48.90173188,2.253822159
281,614.4732008,1912.240961,48.90171729,2.259902768
276,613.5614747,1583.666321,48.90171342,2.252728859
337,608.7263076,693.7874036,48.90169286,2.233299755
380,607.2439884,1043.965259,48.90168656,2.240945336
103,606.2478176,1744.263377,48.90168233,2.256235242
354,604.117103,1426.114859,48.90167327,2.249288971
563,602.3143014,1520.534261,48.9016656,2.25135047
379,602.1900278,982.4520397,48.90166508,2.239602292
396,598.0511144,782.974946,48.90164748,2.235247024
338,594.8083402,704.6026837,48.90163369,2.233535889
91,590.1183366,1935.77743,48.90161375,2.26041665
88,589.3999777,1842.042099,48.9016107,2.258370087
90,573.1848345,1953.496982,48.90154177,2.260803528
92,566.5416262,1871.760794,48.90151352,2.259018948
398,564.8016757,724.2277777,48.90150613,2.233964372
399,563.0522825,671.4829254,48.90149869,2.232812772
395,561.4310771,802.8141672,48.9014918,2.235680182
106,560.7283599,1639.572099,48.90148881,2.253949473
564,560.176195,1493.930282,48.90148646,2.250769614
372,560.095171,1480.353018,48.90148612,2.250473176
400,556.1092498,637.2208966,48.90146917,2.232064714
105,553.2253137,1677.801052,48.90145691,2.254784142
565,551.1069339,1452.597833,48.90144791,2.249867185
102,549.3459785,1734.568763,48.90144042,2.256023576
401,543.3372768,608.0575261,48.90141488,2.231427978
89,542.8554327,1882.727654,48.90141283,2.259258392
566,541.867914,1403.926028,48.90140863,2.248804513
392,540.350649,903.7585878,48.90140218,2.237884145
397,535.6651969,764.2994221,48.90138226,2.234839274
394,532.3351155,864.7815255,48.9013681,2.237033142
370,526.9861192,1424.811242,48.90134536,2.249260508
274,514.3306688,1633.433319,48.90129156,2.253815443
393,513.2443749,909.4351089,48.90128694,2.238008083
374,511.20407,1638.185306,48.90127827,2.253919195
275,492.7118703,1601.48794,48.90119965,2.253117966
403,488.5660757,658.9197762,48.90118203,2.232538475
407,485.0391653,815.664309,48.90116703,2.235960745
406,482.7200278,747.7795811,48.90115718,2.234478589
404,472.0955745,740.7976606,48.90111201,2.23432615
373,469.0932351,1575.760612,48.90109924,2.25255625
107,458.8704044,1686.711947,48.90105578,2.254978698
402,456.2388393,577.418347,48.9010446,2.23075902
405,443.1233397,735.501889,48.90098884,2.234210525
