grid,fclass,name,longitude,latitude,fclass
"5,7",restaurant,La Brasserie Restaurant & Bar,2.2334488,48.8924627,restaurant
"12,5",restaurant,Koedo,2.243251,48.890551,restaurant
"0,11",restaurant,Jungle Arch,2.226151,48.895902,restaurant
"12,5",restaurant,IT,2.243435,48.890053,restaurant
"7,6",restaurant,Hanoi Cà Phê,2.23643,48.890877,restaurant
"12,5",restaurant,Globe Trotter,2.242646,48.890706,restaurant
"9,8",restaurant,Flo Prestige,2.238571,48.892842,restaurant
"12,5",restaurant,Eclipse,2.243405,48.890495,restaurant
"15,2",restaurant,DS Café,2.246979,48.887869,restaurant
"13,6",restaurant,Dapprima,2.2444,48.891127,restaurant
"10,6",restaurant,Cojean,2.24095,48.891677,restaurant
"16,11",restaurant,Chez Lau,2.24862,48.896236,restaurant
"14,12",restaurant,Bovinelli,2.246081,48.896509,restaurant
"7,5",restaurant,Boldère,2.23561,48.890728,restaurant
"3,10",restaurant,Bib & Guss,2.229983,48.894785,restaurant
"3,6",restaurant,Bert's,2.231049692,48.89204506,restaurant
"15,4",restaurant,Baguettes Chinoises,2.247279,48.889362,restaurant
"9,10",restaurant,Avant Seine,2.238754,48.894889,restaurant
"3,4",restaurant,Aux Délices de Puteaux,2.231214,48.889141,restaurant
"19,8",restaurant,Au Vent du Large,2.252705,48.893362,restaurant
"14,5",restaurant,Au Jardin des Corolles,2.245291,48.890647,restaurant
"16,2",restaurant,Andrea,2.248299,48.887972,restaurant
"14,8",restaurant,Alfred's Café,2.246267,48.893321,restaurant
"4,3",restaurant,Al Siwan,2.231749,48.888845,restaurant
"17,12",restaurant,Affinithé,2.250187,48.896976,restaurant
"14,8",restaurant, ,2.245843,48.893142,restaurant
"19,7",restaurant, ,2.252385,48.892525,restaurant
"15,3",public art,Le Moretti,2.247850746,48.88905577,public art
"10,5",public art,L'Araignée Rouge de Alexander Calder,2.24167496,48.89131859,public art
"3,9",pub,Mosai,2.230028,48.894079,pub
"3,10",pub,Les gentlemen,2.230341,48.894548,pub
"18,10",pub,Garden Café,2.251,48.895285,pub
"8,12",post_office,Relais Poste,2.23725,48.896651,post_office
"0,0",post_box, ,2.226876,48.885714,post_box
"0,9",post_box, ,2.225709,48.893935,post_box
"10,3",post_box, ,2.240127,48.888418,post_box
"10,5",post_box, ,2.239869,48.890555,post_box
"10,6",post_box, ,2.240314,48.891271,post_box
"11,5",post_box, ,2.242341,48.890022,post_box
"11,7",post_box, ,2.242399,48.892113,post_box
"12,9",post_box, ,2.24284,48.89368,post_box
"13,10",post_box, ,2.244388,48.894897,post_box
"13,3",post_box, ,2.244143,48.889024,post_box
"14,5",post_box, ,2.245302,48.890558,post_box
