grid,name,fclass,latitude,longitude,Venue Category
"4,3",AL SIWAN,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8889549,2.2317912,Retail
"19,11",Asahi Sushi & Barbecue,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8959453,2.2524566,Retail
"8,6",Chipotle Mexican Grill,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8913475,2.237639,Retail
"15,9",Dehliz Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8937586,2.2473039,Retail
"10,12",FRIENDS AND FRIES,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8964116,2.2405716,Retail
"6,12",Grill Dehliz,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.896479,2.2353173,Retail
"0,11",Jungle Arch,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8960103,2.2258221,Retail
"19,8",Kelbol,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8930705,2.2532543,Retail
"19,4",LE QG,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8899274,2.2526791,Retail
"15,9",Le Tournesol,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8939779,2.2478352,Retail
"3,10",Les Gentlemen,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8945967,2.2303662,Retail
"17,2",Marco Marco,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.88764,2.2508622,Retail
"3,9",Mosai,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8939796,2.2300066,Retail
"14,8",Piccolino,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8934448,2.2465034,Retail
"9,10",Quinte & Sens,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8951246,2.238974,Retail
"13,1",Restaurant Resunga,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8864297,2.2444584,Retail
"16,11",The Place To B,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8961621,2.2489217,Retail
"13,1",Trattoria Piccino,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.886569,2.244741,Retail
"19,8",Vietnam Kitchen,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8930476,2.2531481,Retail
"12,4",My Business,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'store', 'establishment']",48.8893797,2.2435553,Business and Professional Services
"3,8",GOÛD restaurant,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",48.8932981,2.2312435,Retail
"14,9",Elementary School Guynemer,"['school', 'point_of_interest', 'establishment']",48.8942617,2.2466353,Education
"12,12",European School Paris La Défense (Primary School),"['school', 'point_of_interest', 'establishment']",48.8964968,2.2426298,Education
"5,4",Nursery School Félix Pyat,"['school', 'point_of_interest', 'establishment']",48.889901,2.2329723,Education
"17,8",Nursery School Jules Verne,"['school', 'point_of_interest', 'establishment']",48.8932584,2.2495262,Education
"13,10",Nursery School La Marelle,"['school', 'point_of_interest', 'establishment']",48.8945719,2.244848,Education
"1,5",Nursery School Maxime Gorki,"['school', 'point_of_interest', 'establishment']",48.8907037,2.228246,Education
"19,5",Nursery School Mozart,"['school', 'point_of_interest', 'establishment']",48.8907488,2.253055,Education
"2,3",Primary School Eugène Petitot,"['school', 'point_of_interest', 'establishment']",48.888358,2.2294719,Education
"1,2",Primary School Louqman,"['school', 'point_of_interest', 'establishment']",48.8877542,2.227218,Education
"15,10",Public Primary School Charles Perrault,"['school', 'point_of_interest', 'establishment']",48.8947767,2.2473445,Education
"18,10",School,"['school', 'point_of_interest', 'establishment']",48.8951636,2.2515984,Education
"7,11",School,"['school', 'point_of_interest', 'establishment']",48.8961305,2.2359116,Education
"15,10",School Annexe Charles Perrault,"['school', 'point_of_interest', 'establishment']",48.8948458,2.2474587,Education
"2,0",School Bergères,"['school', 'point_of_interest', 'establishment']",48.8855909,2.229563,Education
"7,2",School Defense 2000,"['school', 'point_of_interest', 'establishment']",48.8876764,2.2367918,Education
"18,9",School Saint-Exupéry,"['school', 'point_of_interest', 'establishment']",48.8940741,2.2519465,Education
"10,1",Middle School Du Saut De Sabot,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.8865258,2.2409751,Education
"16,6",Middle School Les Renardières,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.891038,2.249099,Education
"11,1",Middle School Maréchal Leclerc,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.8866074,2.2413697,Education
"9,5",adidas Brand Center Puteaux,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",48.8906943,2.239065,Landmarks and Outdoors
"7,5",GO Sport,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",48.8901781,2.2368392,Landmarks and Outdoors
"9,8",CNIT,"['shopping_mall', 'point_of_interest', 'establishment']",48.8927042,2.2394592,Retail
"2,10",Paris La Défense Arena,"['stadium', 'point_of_interest', 'establishment']",48.8951517,2.2293886,Arts and Entertainment
"9,7",La Défense train station,"['transit_station', 'train_station', 'subway_station', 'point_of_interest', 'establishment']",48.8917666,2.2387265,Travel and Transportation
"8,10",Egencia,"['travel_agency', 'point_of_interest', 'establishment']",48.8949838,2.2382391,Business and Professional Services
"7,7",Digital College La Défense,"['university', 'point_of_interest', 'establishment']",48.892468,2.2360008,Education
"7,11",Ecole de Management Léonard De Vinci,"['university', 'point_of_interest', 'establishment']",48.8961305,2.2359116,Education
"7,11",ESILV - Ecole Supérieure d'Ingénieurs Léonard de Vinci,"['university', 'point_of_interest', 'establishment']",48.8960876,2.2356593,Education
"7,7",Exchange College,"['university', 'point_of_interest', 'establishment']",48.892468,2.2360008,Education
"9,7",ICN Business School Paris,"['university', 'point_of_interest', 'establishment']",48.8926126,2.2396137,Education
"8,2",Idrac Paris Campus,"['university', 'point_of_interest', 'establishment']",48.8873306,2.2380886,Education
