zoom Count,x,y,longitude,latitude,real longitude,real latitude
301,648.4997196,1109.46159,48.90186195,2.242375346,48.8863713,2.241746607
483,711.5223439,1106.386496,48.90212988,2.242308206,48.88664465,2.241796261
475,879.0788527,1089.977615,48.90284221,2.241949944,48.88737138,2.242061214
49,1780.262926,1088.88383,48.90667339,2.241926063,48.89128,2.242078875
300,637.3435692,1087.333203,48.90181452,2.241892207,48.88632291,2.242103913
159,1078.787319,1080.367045,48.90369122,2.241740112,48.88823755,2.242216395
94,3198.966105,1080.278548,48.91270468,2.24173818,48.89743322,2.242217824
6,2639.904688,1070.774396,48.91032796,2.241530672,48.89500845,2.242371287
4,3002.291818,1069.868099,48.91186857,2.241510884,48.8965802,2.242385921
48,1710.560138,1068.647537,48.90637706,2.241484235,48.89097768,2.242405629
158,2438.977132,1066.487557,48.90947376,2.241437075,48.89413698,2.242440506
168,2466.248105,1064.298206,48.9095897,2.241389274,48.89425527,2.242475858
474,990.1761031,1051.73102,48.90331451,2.24111489,48.88785323,2.242678779
52,1531.051011,1050.683213,48.90561392,2.241092012,48.89019912,2.242695698
95,3160.741995,1048.799869,48.91254218,2.241050893,48.89726743,2.242726108
479,594.9612943,1042.642172,48.90163434,2.240916449,48.88613909,2.242825536
54,1949.26774,1041.689305,48.90739187,2.240895645,48.89201301,2.242840921
93,3237.190214,1037.557484,48.91286718,2.240805433,48.897599,2.242907638
394,1096.398418,1035.518864,48.90376609,2.240760923,48.88831393,2.242940555
393,1029.776876,1035.518864,48.90348286,2.240760923,48.88802498,2.242940555
97,2725.286942,1031.728099,48.91069094,2.240678157,48.89537877,2.243001765
315,2325.139355,1022.077228,48.90898981,2.240467446,48.89364325,2.243157596
345,2481.064257,1021.639376,48.90965268,2.240457886,48.89431952,2.243164667
482,680.5608151,1020.786975,48.90199825,2.240439275,48.88651036,2.24317843
335,2378.356046,1010.535786,48.90921604,2.240215457,48.89387405,2.243343955
395,1121.381496,1007.759888,48.9038723,2.240154849,48.88842229,2.243388778
