OBJECTID,osm_id,code,fclass,name,longitude,latitude,grid
820,82323099,7202,park,Place des Pleiades,2.2530028,48.8935504,"19,9"
821,82323099,7202,park,Place des Pleiades,2.2527297,48.8934234,"19,8"
822,82323099,7202,park,Place des Pleiades,2.2524953,48.8936294,"19,9"
823,82323099,7202,park,Place des Pleiades,2.2524804,48.8936446,"19,9"
824,98903390,7202,park,Parc Jacques Cartier,2.2383409,48.8968424,"9,12"
825,98903390,7202,park,Parc Jacques Cartier,2.2383585,48.8968851,"9,12"
826,98903390,7202,park,Parc Jacques Cartier,2.2383471,48.8969565,"9,12"
827,98903390,7202,park,Parc Jacques Cartier,2.2384294,48.8970097,"9,12"
828,98903390,7202,park,Parc Jacques Cartier,2.2386194,48.897075,"9,12"
829,98903390,7202,park,Parc Jacques Cartier,2.2386999,48.8970981,"9,12"
830,98903390,7202,park,Parc Jacques Cartier,2.2387341,48.8970338,"9,12"
831,98903390,7202,park,Parc Jacques Cartier,2.2388545,48.8969766,"9,12"
832,98903390,7202,park,Parc Jacques Cartier,2.2388779,48.8969999,"9,12"
833,98903390,7202,park,Parc Jacques Cartier,2.2387701,48.8970641,"9,12"
834,98903390,7202,park,Parc Jacques Cartier,2.2387634,48.8971047,"9,12"
837,98903390,7202,park,Parc Jacques Cartier,2.2393081,48.8970106,"9,12"
838,98903390,7202,park,Parc Jacques Cartier,2.2395243,48.8968986,"9,12"
839,98903390,7202,park,Parc Jacques Cartier,2.2396631,48.8968293,"9,12"
840,98903390,7202,park,Parc Jacques Cartier,2.2396356,48.8967994,"9,12"
841,98903390,7202,park,Parc Jacques Cartier,2.2396102,48.8967686,"9,12"
842,98903390,7202,park,Parc Jacques Cartier,2.2396006,48.8967565,"9,12"
843,98903390,7202,park,Parc Jacques Cartier,2.2395988,48.8967036,"9,12"
844,98903390,7202,park,Parc Jacques Cartier,2.2396121,48.896674,"9,12"
845,98903390,7202,park,Parc Jacques Cartier,2.2396421,48.8966427,"9,12"
846,98903390,7202,park,Parc Jacques Cartier,2.2395876,48.8966134,"9,12"
847,98903390,7202,park,Parc Jacques Cartier,2.239514,48.8965416,"9,12"
848,98903390,7202,park,Parc Jacques Cartier,2.2394657,48.8964958,"9,12"
849,98903390,7202,park,Parc Jacques Cartier,2.2393898,48.8964566,"9,12"
850,98903390,7202,park,Parc Jacques Cartier,2.2392934,48.8964233,"9,12"
851,98903390,7202,park,Parc Jacques Cartier,2.2391787,48.8964062,"9,12"
852,98903390,7202,park,Parc Jacques Cartier,2.2390964,48.8964483,"9,12"
853,98903390,7202,park,Parc Jacques Cartier,2.2383409,48.8968424,"9,12"
861,102905728,7202,park, ,2.2494637,48.8959997,"16,11"
862,102905728,7202,park, ,2.2501059,48.8962053,"17,11"
863,102905728,7202,park, ,2.2501804,48.8961086,"17,11"
864,102905728,7202,park, ,2.250256,48.8960098,"17,11"
865,102905728,7202,park, ,2.2502913,48.8960217,"17,11"
866,102905728,7202,park, ,2.2503333,48.8960355,"17,11"
867,102905728,7202,park, ,2.2503757,48.8960488,"17,11"
868,102905728,7202,park, ,2.2504185,48.8960616,"17,11"
869,102905728,7202,park, ,2.2504617,48.8960739,"17,11"
870,102905728,7202,park, ,2.2505052,48.8960858,"17,11"
871,102905728,7202,park, ,2.250549,48.896097,"17,11"
872,102905728,7202,park, ,2.2505929,48.8961079,"17,11"
873,102905728,7202,park, ,2.2506372,48.8961182,"17,11"
874,102905728,7202,park, ,2.2506886,48.8961293,"17,11"
875,102905728,7202,park, ,2.2507343,48.8961387,"17,11"
876,102905728,7202,park, ,2.2507803,48.8961475,"17,11"
877,102905728,7202,park, ,2.2508264,48.8961559,"17,11"
878,102905728,7202,park, ,2.2509077,48.8961706,"18,11"
879,102905728,7202,park, ,2.2509692,48.8961791,"18,11"
880,102905728,7202,park, ,2.2510602,48.8961928,"18,11"
881,102905728,7202,park, ,2.2511716,48.8962031,"18,11"
