,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
136,1.49E+18,2022/1/27 19:17,2022,1,27,3,19,17,41,"2022-01-27 �?Paris, France https://t.co/GuHKcamDUU",1.43E+18,photo.svkru,photosvkru,6,3101,,48.8567,2.3508
137,1.49E+18,2022/1/27 19:18,2022,1,27,3,19,18,53,"@heineken
2022-01-27 �?Paris, France https://t.co/GsRqpQCd4q",1.43E+18,photo.svkru,photosvkru,6,3102,,48.8567,2.3508
144,1.49E+18,2022/1/27 19:38,2022,1,27,3,19,38,40,"Just posted a photo @ Paris, France https://t.co/MZQm3EMLqK",601354408,audra harris,Audra66Audra,129,63251,,48.8567,2.3508
145,1.49E+18,2022/1/27 19:39,2022,1,27,3,19,39,2,Acaba de publicar una foto en Rue des Messageries https://t.co/OkulYd4nrk,4321624535,Happy Travel - De Euskadiz al mundo,DeEuskadiz,5977,6771,,48.8763,2.34983
99,1.49E+18,2022/1/27 15:52,2022,1,27,3,15,52,21,Merci Mr G de ce retour 馃檹馃徏馃檹馃徏 Le fauteuil OHCO M8 : l鈥檜n des meilleurs fauteuils massant con莽u �?ce jour !! Venez l鈥欌�?https://t.co/JBxXplN8gu,1878413034,DETENTATION,DETENTATION,23,121,,48.86583,2.34959
8,1.49E+18,2022/1/26 16:45,2022,1,26,2,16,45,37,"Vient de publier une photo à Paris, France https://t.co/9qIqmNhcxO",110107809,Herve Paul,hervepaul,148,286,,48.8573,2.3492
21,1.49E+18,2022/1/26 19:10,2022,1,26,2,19,10,28,Vient de publier une photo à Cathédrale Notre-Dame de Paris https://t.co/E8sOG1zZwA,2861038929,arty & gastronomy,arty_gastronomy,69,1272,,48.8528,2.34878
57,1.49E+18,2022/1/26 21:14,2022,1,26,2,21,14,8,🗝 en Cathédrale Notre-Dame de Paris https://t.co/fyNRbPyWFw,732621649,Laura Terrel López,LauraTerrel,732,27872,,48.8528,2.34878
47,1.49E+18,2022/1/26 20:21,2022,1,26,2,20,21,11,"LipBlush 💋 

#lipblushtattoo #maquillagepermanentlevres #maquillagepermanentparis #embellilips #lipblush�?https://t.co/oNx67Zf8tb",81081778,MAQUIDERM,maquiderm,876,1382,,48.86343,2.34853
4,1.49E+18,2022/1/26 15:07,2022,1,26,2,15,7,15,Vient de publier une photo à 75018 https://t.co/UD2ZeUSR78,9.85E+17,@OprixFixe,OprixFixe,44,364,,48.892605,2.348267
2,1.49E+18,2022/1/26 14:58,2022,1,26,2,14,58,13,"Pendant deux semaines, redécouvrez la valeur des choses. Opération magasin 100% gratuit ! @ 59 Rivoli https://t.co/jUg5aLOJHO",2416030351,REFER,REEMPLOI_IDF,1371,1057,,48.85923,2.34566
0,1.49E+18,2022/1/26 14:49,2022,1,26,2,14,49,36,Vient de publier une photo à La Poste Louvre https://t.co/kn1pWBtVEW,1121724205,veyet Laurent,Laurent75002,62,1199,,48.86484,2.343
93,1.49E+18,2022/1/27 14:13,2022,1,27,3,14,13,12,Just posted a photo @ Montmartre https://t.co/Yl3mScRlbm,1.43E+18,Subhi Nure,SubhiNure,0,137,,48.88685,2.341882
