grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"5,8",2.23344945,48.89338942,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"6,8",2.23486135,48.89338942,Business and Professional Services,Retail,Arts and Entertainment,Community and Government,Education,Health and Medicine,1
"7,8",2.23627325,48.89338942,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"8,8",2.23768515,48.89338942,Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,1
"9,8",2.23909705,48.89338942,Retail,Business and Professional Services,Education,Health and Medicine,Arts and Entertainment,Community and Government,1
"10,8",2.24050895,48.89338942,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"12,8",2.24333275,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"14,8",2.24615655,48.89338942,Retail,Health and Medicine,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"15,8",2.24756845,48.89338942,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"16,8",2.24898035,48.89338942,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"17,8",2.25039225,48.89338942,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"19,8",2.25321605,48.89338942,Retail,Health and Medicine,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"0,9",2.22638995,48.89432488,Travel and Transportation,Community and Government,Education,Retail,Arts and Entertainment,Business and Professional Services,5
"1,9",2.22780185,48.89432488,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"3,9",2.23062565,48.89432488,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"4,9",2.23203755,48.89432488,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"7,9",2.23627325,48.89432488,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"8,9",2.23768515,48.89432488,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"9,9",2.23909705,48.89432488,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,5
"10,9",2.24050895,48.89432488,Community and Government,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,3
"11,9",2.24192085,48.89432488,Community and Government,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,3
"12,9",2.24333275,48.89432488,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"14,9",2.24615655,48.89432488,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"15,9",2.24756845,48.89432488,Retail,Community and Government,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Education,2
"16,9",2.24898035,48.89432488,Retail,Business and Professional Services,Health and Medicine,Travel and Transportation,Arts and Entertainment,Community and Government,1
"17,9",2.25039225,48.89432488,Health and Medicine,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Landmarks and Outdoors,1
"18,9",2.25180415,48.89432488,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"19,9",2.25321605,48.89432488,Business and Professional Services,Landmarks and Outdoors,Retail,Arts and Entertainment,Community and Government,Education,1
"0,10",2.22638995,48.89526035,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"1,10",2.22780185,48.89526035,Retail,Arts and Entertainment,Health and Medicine,Landmarks and Outdoors,Business and Professional Services,Community and Government,1
"2,10",2.22921375,48.89526035,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"3,10",2.23062565,48.89526035,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"6,10",2.23486135,48.89526035,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"7,10",2.23627325,48.89526035,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"8,10",2.23768515,48.89526035,Arts and Entertainment,Business and Professional Services,Travel and Transportation,Retail,Community and Government,Education,5
