grid,name,latitude,longitude,Venue Category
"6,0",Crèche Les 3 Ours,48.886057,2.234401,Education
"12,11",Crèche Les Chérubins,48.895359,2.243878,Education
"15,6",Plumes et Compagnies,48.891552,2.247306,Education
"15,4",Saperlipopette,48.889498,2.246734,Education
"8,6",Parvis de la Défense,48.8916967,2.238657475,Landmarks and Outdoors
"12,0", ,48.886024,2.243435,Retail
"16,9", ,48.893606,2.248461,Retail
"6,12",5àsec,48.89639,2.235024,Retail
"4,1",De Gaulle Pressing,48.886636,2.231927,Retail
"3,4",Laverie,48.889797,2.230722,Retail
"16,12",Milo-Pressing,48.89637,2.248512,Retail
"3,4",Pressing,48.889592,2.230825,Retail
"14,0",Séquoia,48.885955,2.24588,Retail
"4,7",Executive Lounge de l'Hôtel Renaissance Paris la Défense,48.89263096,2.232963145,Retail
"17,2",Meliá The Place,48.88848136,2.250406891,Retail
"17,10",Général de Gaulle,48.895127,2.250367,Arts and Entertainment
"4,9",Monuments aux morts pour la France,48.893893,2.232531,Arts and Entertainment
"0,4",Mayanne Evenementiel,48.8904719,2.22770034,Retail
"8,7",Nespresso,48.892504,2.23864,Retail
"18,2",Restaurant de l'Hôtel Novotel Paris la Défense,48.888035,2.253011,Retail
