grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"18,6",2.25180415,48.8915185,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,7",2.23062565,48.89245396,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"4,7",2.23203755,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"5,7",2.23344945,48.89245396,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"6,7",2.23486135,48.89245396,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"7,7",2.23627325,48.89245396,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Retail,Business and_Professional Services,Community and Government,0
"8,7",2.23768515,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Education,Travel and Transportation,Retail,Business and_Professional Services,0
"9,7",2.23909705,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Education,Community and Government,Health and Medicine,0
"10,7",2.24050895,48.89245396,Business and_Professional Services,Landmarks and Outdoors,Retail,Arts and Entertainment,Community and Government,Education,0
"11,7",2.24192085,48.89245396,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,7",2.24333275,48.89245396,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,7",2.24474465,48.89245396,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"14,7",2.24615655,48.89245396,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"15,7",2.24756845,48.89245396,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"17,7",2.25039225,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"3,8",2.23062565,48.89338942,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"4,8",2.23203755,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"5,8",2.23344945,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"6,8",2.23486135,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Retail,Business and_Professional Services,Community and Government,Education,0
"7,8",2.23627325,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Retail,Business and_Professional Services,Community and Government,Education,0
"8,8",2.23768515,48.89338942,Landmarks and Outdoors,Business and_Professional Services,Education,Retail,Arts and Entertainment,Community and Government,0
"9,8",2.23909705,48.89338942,Arts and Entertainment,Retail,Education,Landmarks and Outdoors,Business and_Professional Services,Community and Government,0
"10,8",2.24050895,48.89338942,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,Landmarks and Outdoors,0
"11,8",2.24192085,48.89338942,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,8",2.24333275,48.89338942,Business and_Professional Services,Education,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"14,8",2.24615655,48.89338942,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"15,8",2.24756845,48.89338942,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,9",2.22921375,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,9",2.23062565,48.89432488,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"4,9",2.23203755,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"6,9",2.23486135,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"7,9",2.23627325,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,9",2.23768515,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,9",2.23909705,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"10,9",2.24050895,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"11,9",2.24192085,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,9",2.24333275,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,9",2.24474465,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"15,9",2.24756845,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"16,9",2.24898035,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,9",2.25180415,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"1,10",2.22780185,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,10",2.22921375,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,10",2.23062565,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
