FID,osm_id,code,fclass,name,longitude,latitude,grid
380,1930418804,2907,camera_surveillance, ,2.236067,48.893247,"7,8"
1863,9306483726,2084,college,Exchange College,2.235748,48.892993,"7,8"
1864,9306526121,2084,college,"Ascencia Business School La Défense, Grande Arche",2.235602,48.893034,"7,8"
1866,9306533980,2084,college,école Conte,2.236202,48.892926,"7,8"
386,1930418882,2907,camera_surveillance, ,2.23581,48.894141,"7,9"
387,1930418885,2907,camera_surveillance, ,2.235648,48.894324,"7,9"
555,1984263936,2907,camera_surveillance, ,2.235992,48.893618,"7,9"
596,2002491146,2907,camera_surveillance, ,2.235957,48.894262,"7,9"
597,2002491291,2907,camera_surveillance, ,2.235938,48.894185,"7,9"
598,2002491576,2907,camera_surveillance, ,2.236169,48.894138,"7,9"
599,2002491683,2907,camera_surveillance, ,2.23618,48.894137,"7,9"
600,2002491790,2907,camera_surveillance, ,2.236293,48.894118,"7,9"
601,2002491892,2907,camera_surveillance, ,2.236352,48.894126,"7,9"
602,2002491934,2907,camera_surveillance, ,2.236438,48.894163,"7,9"
603,2002491937,2907,camera_surveillance, ,2.236805,48.894339,"7,9"
604,2002491941,2907,camera_surveillance, ,2.23675,48.89424,"7,9"
1691,7437390233,2725,artwork,Slat,2.23557,48.893696,"7,9"
141,1296639389,2725,artwork,Ikaria,2.237,48.895296,"8,10"
142,1296639523,2725,artwork,Colosse,2.237843,48.894938,"8,10"
424,1935818441,2907,camera_surveillance, ,2.236995,48.895044,"8,10"
591,2002490502,2907,camera_surveillance, ,2.23722,48.894532,"8,10"
605,2002491987,2907,camera_surveillance, ,2.237052,48.894516,"8,10"
1635,7178203285,2906,waste_basket, ,2.237668,48.894665,"8,10"
1636,7178203286,2906,waste_basket, ,2.237814,48.89484,"8,10"
1766,8284069767,2701,tourist_info, ,2.23777,48.894922,"8,10"
1847,9137670484,2701,tourist_info, ,2.238145,48.894704,"8,10"
134,1271510655,2907,camera_surveillance, ,2.237109,48.89613,"8,11"
135,1271510657,2907,camera_surveillance, ,2.237204,48.896163,"8,11"
359,1925180657,2907,camera_surveillance, ,2.238198,48.896119,"8,11"
362,1925222790,2907,camera_surveillance, ,2.237557,48.895949,"8,11"
363,1925222791,2907,camera_surveillance, ,2.237613,48.895989,"8,11"
364,1925222792,2907,camera_surveillance, ,2.237501,48.895987,"8,11"
365,1925222793,2907,camera_surveillance, ,2.237935,48.896012,"8,11"
366,1925222794,2907,camera_surveillance, ,2.23791,48.896018,"8,11"
367,1925222795,2907,camera_surveillance, ,2.237909,48.895673,"8,11"
368,1925222796,2907,camera_surveillance, ,2.237745,48.896204,"8,11"
400,1933603229,2907,camera_surveillance, ,2.237537,48.8958,"8,11"
401,1933603230,2907,camera_surveillance, ,2.237114,48.89613,"8,11"
402,1933603231,2907,camera_surveillance, ,2.237207,48.896164,"8,11"
556,1988182438,2907,camera_surveillance, ,2.237129,48.896022,"8,11"
557,1988182440,2907,camera_surveillance, ,2.237072,48.895932,"8,11"
1637,7178203287,2906,waste_basket, ,2.237183,48.895978,"8,11"
1763,8284060812,2701,tourist_info, ,2.237262,48.895914,"8,11"
1848,9137670487,2906,waste_basket, ,2.238084,48.895777,"8,11"
1851,9137670490,2906,waste_basket, ,2.238122,48.896026,"8,11"
16,205462084,2301,restaurant,Soleil d'Or,2.237225,48.896423,"8,12"
28,431622744,2004,post_box, ,2.236915,48.896625,"8,12"
30,431622747,2601,bank,LCL,2.237682,48.896776,"8,12"
31,431622748,2601,bank,Société Générale,2.237521,48.897059,"8,12"
77,960092604,2303,cafe,Starbucks,2.237927,48.896699,"8,12"
131,1271510636,2907,camera_surveillance, ,2.236951,48.896471,"8,12"
360,1925180682,2907,camera_surveillance, ,2.23823,48.896503,"8,12"
361,1925180689,2907,camera_surveillance, ,2.238244,48.896663,"8,12"
403,1933603232,2907,camera_surveillance, ,2.236947,48.89647,"8,12"
559,1988182443,2519,optician,Optique de l'Arche,2.237102,48.896485,"8,12"
565,1988202697,2561,hairdresser,Jean-Claude Biguine,2.237205,48.896972,"8,12"
586,2001235418,2907,camera_surveillance, ,2.238238,48.896392,"8,12"
1118,3508363285,2030,recycling, ,2.237851,48.896961,"8,12"
1327,4897522468,2602,atm, ,2.237697,48.896808,"8,12"
1526,6293212540,2121,dentist,SEL Dentaire du Faubourg de l'Arche,2.236979,48.896582,"8,12"
1639,7178203289,2906,waste_basket, ,2.237557,48.896867,"8,12"
1644,7178204685,2906,waste_basket, ,2.237542,48.896916,"8,12"
1764,8284069727,2121,dentist,Fonteneau,2.237915,48.896523,"8,12"
1765,8284069733,2121,dentist,Thibous,2.237913,48.896545,"8,12"
1817,8889978174,2005,post_office,Relais Poste,2.23725,48.896651,"8,12"
143,1325227101,2082,school,école maternelle Défense 2000,2.237026,48.887318,"8,2"
692,2696457284,2004,post_box, ,2.236965,48.887757,"8,2"
693,2696478062,2031,recycling_glass, ,2.237404,48.887551,"8,2"
1503,6021850842,2906,waste_basket, ,2.238261,48.888001,"8,2"
1126,3585251693,2529,beauty_shop,Yves Rocher,2.238003,48.890825,"8,5"
1477,6007129730,2906,waste_basket, ,2.237892,48.889945,"8,5"
50,820938903,2302,fast_food,McDonald's,2.237067,48.891317,"8,6"
51,820938929,2301,restaurant,Pizza Del Arte,2.237223,48.891411,"8,6"
377,1930418772,2907,camera_surveillance, ,2.237685,48.891638,"8,6"
378,1930418779,2907,camera_surveillance, ,2.237224,48.891689,"8,6"
379,1930418785,2907,camera_surveillance, ,2.237218,48.891685,"8,6"
1451,5936552217,2906,waste_basket, ,2.23816,48.891018,"8,6"
375,1930418729,2907,camera_surveillance, ,2.238165,48.892342,"8,7"
376,1930418752,2907,camera_surveillance, ,2.238097,48.892214,"8,7"
834,2813296256,2906,waste_basket, ,2.236924,48.89232,"8,7"
835,2813296257,2906,waste_basket, ,2.236909,48.892325,"8,7"
836,2813296262,2701,tourist_info, ,2.236977,48.892408,"8,7"
839,2813296269,2902,bench, ,2.237001,48.89243,"8,7"
842,2813296273,2902,bench, ,2.236891,48.892463,"8,7"
843,2813296274,2593,vending_any, ,2.237032,48.892482,"8,7"
844,2813296275,2906,waste_basket, ,2.237044,48.892492,"8,7"
845,2813296276,2701,tourist_info, ,2.236915,48.892497,"8,7"
846,2813296277,2902,bench, ,2.237054,48.892512,"8,7"
847,2813296278,2906,waste_basket, ,2.236949,48.892513,"8,7"
848,2813296279,2906,waste_basket, ,2.236917,48.892524,"8,7"
849,2813296280,2701,tourist_info, ,2.237078,48.892538,"8,7"
850,2813296281,2906,waste_basket, ,2.237024,48.89255,"8,7"
851,2813296282,2902,bench, ,2.236958,48.89255,"8,7"
852,2813296283,2527,newsagent,Relay,2.237034,48.892558,"8,7"
853,2813296285,2527,newsagent,Relay,2.236987,48.892585,"8,7"
854,2813296287,2502,bakery,Bonne Journée,2.237115,48.892591,"8,7"
855,2813296288,2906,waste_basket, ,2.237139,48.892595,"8,7"
856,2813296292,2906,waste_basket, ,2.237118,48.892603,"8,7"
857,2813296293,2906,waste_basket, ,2.237029,48.892613,"8,7"
858,2813296297,2906,waste_basket, ,2.236995,48.892626,"8,7"
1331,4988195231,2527,newsagent, ,2.237201,48.891899,"8,7"
1453,5994166980,2907,camera_surveillance, ,2.237323,48.892175,"8,7"
1454,5994166981,2907,camera_surveillance, ,2.237326,48.892169,"8,7"
1456,5994212203,2906,waste_basket, ,2.237157,48.892337,"8,7"
1457,5994212208,2602,atm, ,2.237713,48.89217,"8,7"
859,2813297708,2906,waste_basket, ,2.237287,48.89274,"8,8"
860,2813297709,2906,waste_basket, ,2.237137,48.892751,"8,8"
861,2813297710,2593,vending_any, ,2.237316,48.892763,"8,8"
862,2813297715,2906,waste_basket, ,2.237319,48.892783,"8,8"
863,2813297717,2902,bench, ,2.237334,48.892795,"8,8"
864,2813297720,2701,tourist_info, ,2.237349,48.892807,"8,8"
865,2813297721,2701,tourist_info, ,2.237357,48.892813,"8,8"
866,2813297722,2906,waste_basket, ,2.237224,48.892821,"8,8"
867,2813297723,2593,vending_any, ,2.237389,48.892825,"8,8"
868,2813297724,2593,vending_any, ,2.237236,48.892809,"8,8"
869,2813297725,2902,bench, ,2.2374,48.892836,"8,8"
870,2813297726,2902,bench, ,2.237252,48.892844,"8,8"
871,2813297728,2701,tourist_info, ,2.237263,48.892853,"8,8"
872,2813297729,2701,tourist_info, ,2.237271,48.89286,"8,8"
873,2813297730,2593,vending_any, ,2.23742,48.892855,"8,8"
874,2813297733,2902,bench, ,2.237314,48.892877,"8,8"
875,2813297736,2906,waste_basket, ,2.237452,48.892883,"8,8"
876,2813297738,2593,vending_any, ,2.237333,48.892892,"8,8"
877,2813297743,2906,waste_basket, ,2.237383,48.892951,"8,8"
878,2813297747,2906,waste_basket, ,2.237656,48.893031,"8,8"
879,2813297750,2527,newsagent,Relay,2.237642,48.89304,"8,8"
880,2813297752,2906,waste_basket, ,2.237628,48.893051,"8,8"
881,2813297753,2701,tourist_info, ,2.237659,48.893052,"8,8"
882,2813297755,2902,bench, ,2.237661,48.893062,"8,8"
883,2813297757,2906,waste_basket, ,2.237564,48.893068,"8,8"
884,2813297763,2906,waste_basket, ,2.237541,48.893084,"8,8"
885,2813297764,2502,bakery,Bonne Journée,2.237561,48.893084,"8,8"
886,2813297766,2593,vending_any, ,2.2377,48.893094,"8,8"
887,2813297767,2902,bench, ,2.237587,48.893104,"8,8"
888,2813297768,2593,vending_any, ,2.237628,48.893137,"8,8"
889,2813297769,2701,tourist_info, ,2.237643,48.893157,"8,8"
890,2813297771,2906,waste_basket, ,2.237888,48.893229,"8,8"
891,2813297772,2906,waste_basket, ,2.237857,48.893245,"8,8"
892,2813297773,2527,newsagent,Relay,2.237825,48.893254,"8,8"
893,2813297776,2906,waste_basket, ,2.237822,48.893316,"8,8"
894,2813297777,2902,bench, ,2.237984,48.893334,"8,8"
895,2813297778,2701,tourist_info, ,2.238003,48.89335,"8,8"
896,2813297780,2902,bench, ,2.23793,48.893395,"8,8"
897,2813297781,2701,tourist_info, ,2.237947,48.893406,"8,8"
898,2813297785,2906,waste_basket, ,2.238114,48.893432,"8,8"
899,2813297787,2906,waste_basket, ,2.238099,48.893443,"8,8"
1455,5994212194,2593,vending_any,RATP,2.237821,48.892953,"8,8"
1840,9137670474,2906,waste_basket, ,2.237294,48.893142,"8,8"
315,1891366466,2907,camera_surveillance, ,2.238282,48.893565,"8,9"
588,2002489716,2907,camera_surveillance, ,2.237245,48.89425,"8,9"
589,2002489894,2907,camera_surveillance, ,2.237646,48.89432,"8,9"
590,2002490257,2907,camera_surveillance, ,2.237206,48.894428,"8,9"
900,2813297799,2906,waste_basket, ,2.238123,48.893539,"8,9"
901,2813297800,2906,waste_basket, ,2.2381,48.893553,"8,9"
904,2813297917,2902,bench, ,2.238231,48.893644,"8,9"
905,2813297919,2906,waste_basket, ,2.23822,48.893652,"8,9"
1831,9136877173,2906,waste_basket, ,2.238041,48.894418,"8,9"
1843,9137670480,2906,waste_basket, ,2.238227,48.894003,"8,9"
1845,9137670482,2906,waste_basket, ,2.237841,48.89436,"8,9"
11,203123010,2301,restaurant,Avant Seine,2.238754,48.894889,"9,10"
348,1923568284,2907,camera_surveillance, ,2.23939,48.895019,"9,10"
349,1923568285,2907,camera_surveillance, ,2.238702,48.895224,"9,10"
350,1923568286,2907,camera_surveillance, ,2.238708,48.895221,"9,10"
351,1924155122,2907,camera_surveillance, ,2.238363,48.894903,"9,10"
352,1924155127,2907,camera_surveillance, ,2.238357,48.894905,"9,10"
353,1924155133,2907,camera_surveillance, ,2.238452,48.894979,"9,10"
354,1924155141,2907,camera_surveillance, ,2.238446,48.894982,"9,10"
355,1924155153,2907,camera_surveillance, ,2.238544,48.89506,"9,10"
