OBJECTID,osm_id,code,fclass,name,type,levels,ORIG_FID,X,Y,grid
192,46692184,1500,building,Conservation,government,0.0,8,2.227968500346037,48.89283609990616,"1,8"
193,46692184,1500,building,Conservation,government,0.0,8,2.227938800235506,48.892817199754006,"1,8"
194,46692184,1500,building,Conservation,government,0.0,8,2.227903699696014,48.89280300035824,"1,8"
195,46692184,1500,building,Conservation,government,0.0,8,2.227862699603975,48.89279159965264,"1,8"
196,46692184,1500,building,Conservation,government,0.0,8,2.22783870029582,48.89283919986922,"1,8"
197,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237117899771306,48.88828709966998,"8,3"
198,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237148299554406,48.88833000002956,"8,3"
199,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237160099558992,48.88834670043991,"8,3"
200,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237250699959873,48.88847460022265,"8,3"
201,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237262599789176,48.88849150028256,"8,3"
202,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237317599627545,48.88856919990872,"8,3"
203,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237330700051814,48.88858769986251,"8,3"
204,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237359400116247,48.88862829975631,"8,3"
205,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237370999572022,48.88864459996836,"8,3"
206,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237454599650107,48.888762699838765,"8,3"
207,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237466399654693,48.8887793004244,"8,3"
208,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237523000286274,48.888859199792314,"8,3"
209,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237535099765069,48.88887640022575,"8,3"
210,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237573499917119,48.8889305996675,"8,3"
211,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237766800197733,48.88887080014735,"8,3"
212,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237825700395831,48.88885259966781,"8,3"
213,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237928900298584,48.88882069981548,"8,3"
214,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.23795570009554,48.88881239997232,"8,3"
215,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238309399858963,48.88870300014337,"9,3"
216,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238356500052475,48.88868839964999,"9,3"
217,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238547999890329,48.88862919997762,"9,3"
218,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238522700162548,48.88859360031444,"9,3"
219,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238512099853551,48.888578700346784,"9,3"
220,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238411700439656,48.88843729994147,"9,3"
221,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238400199909336,48.88842109955414,"9,3"
222,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238344100200095,48.888342200232394,"9,3"
223,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238332900043361,48.88832649986813,"9,3"
224,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238310700278646,48.88829519986365,"9,3"
225,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238299400297137,48.88827929984984,"9,3"
226,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238241099946833,48.888197299665705,"8,3"
