OBJECTID,osm_id,code,fclass,name,ORIG_FID,X,Y,grid
4902,637177350,7218,grass, ,240,2.233290400431656,48.89134050036387,"5,6"
4903,637177350,7218,grass, ,240,2.233309100035001,48.89123380029969,"5,6"
4904,637177350,7218,grass, ,240,2.233468700020524,48.891235500018354,"5,6"
4905,637177350,7218,grass, ,240,2.233553200319989,48.8912310996356,"5,6"
4906,637177350,7218,grass, ,240,2.233683299844472,48.89121259968181,"5,6"
4907,637177350,7218,grass, ,240,2.233773199673465,48.891194099727954,"5,6"
4908,637177350,7218,grass, ,240,2.233860299912976,48.89117469955278,"5,6"
4909,637177350,7218,grass, ,240,2.234002499815574,48.891129700175554,"5,6"
4910,637177350,7218,grass, ,240,2.233433899854617,48.89102829981624,"5,6"
4911,637177350,7218,grass, ,240,2.233287699767573,48.89103449974243,"5,6"
4912,637177350,7218,grass, ,240,2.23318979956963,48.89104329960866,"5,6"
4913,637177350,7218,grass, ,240,2.233124099597546,48.89105210037417,"5,6"
4914,637177350,7218,grass, ,240,2.233072400271112,48.89106540044793,"5,6"
4915,637177350,7218,grass, ,240,2.233013400248296,48.89108779986213,"5,6"
4916,637177350,7218,grass, ,240,2.232967200276107,48.89111030000038,"5,6"
4917,637177350,7218,grass, ,240,2.232958500234645,48.891116099728265,"5,6"
4918,637177350,7218,grass, ,240,2.232923600244021,48.891139000064875,"5,6"
4919,637177350,7218,grass, ,240,2.232892099690673,48.89116849962658,"5,6"
4920,637177350,7218,grass, ,240,2.232870599598527,48.89119189998626,"5,6"
4921,637177350,7218,grass, ,240,2.232849200230476,48.89122500043345,"5,6"
4922,637177350,7218,grass, ,240,2.232837099852304,48.89125319957554,"5,6"
4923,637177350,7218,grass, ,240,2.232720400226356,48.891247899870734,"5,6"
4924,637177350,7218,grass, ,240,2.23269890013421,48.891278699852194,"5,6"
4925,637177350,7218,grass, ,240,2.232617099599509,48.89127700013353,"4,6"
4926,637177350,7218,grass, ,240,2.232610399650298,48.89137750027145,"4,6"
4927,637177350,7218,grass, ,240,2.232518499729054,48.89137240021614,"4,6"
4928,637177350,7218,grass, ,240,2.232482200393292,48.89142940014676,"4,6"
4929,637177351,7218,grass, ,241,2.233661899577044,48.89100169966878,"5,6"
4930,637177351,7218,grass, ,241,2.233661899577044,48.89100540037896,"5,6"
4931,637177351,7218,grass, ,241,2.233944400014082,48.89105890014815,"5,6"
4932,637177351,7218,grass, ,241,2.234058800073626,48.891077699576215,"5,6"
4933,637177351,7218,grass, ,241,2.234207500275943,48.89109709975139,"6,6"
4934,637177351,7218,grass, ,241,2.234286799795996,48.89075670006173,"6,5"
4935,637177351,7218,grass, ,241,2.234284000206515,48.890756200038645,"6,5"
4936,637177351,7218,grass, ,241,2.234269500437165,48.89077689973419,"6,5"
4937,637177351,7218,grass, ,241,2.234248299819228,48.89080459975253,"6,5"
4938,637177351,7218,grass, ,241,2.234220400151401,48.89083629995531,"6,5"
4939,637177351,7218,grass, ,241,2.234192299934762,48.8908655998676,"6,6"
4940,637177351,7218,grass, ,241,2.234158700363764,48.890898300116525,"6,6"
4941,637177351,7218,grass, ,241,2.234102400105712,48.89094810007481,"6,6"
4942,637177351,7218,grass, ,241,2.234033299796977,48.89100319973795,"5,6"
4943,637177351,7218,grass, ,241,2.233926099709777,48.89092869989963,"5,6"
4944,637177351,7218,grass, ,241,2.233887200434026,48.890943199668975,"5,6"
4945,637177351,7218,grass, ,241,2.233841600309631,48.890959099682725,"5,6"
4946,637177351,7218,grass, ,241,2.233794000093099,48.8909727999548,"5,6"
4947,637177351,7218,grass, ,241,2.233755699765766,48.890983799562775,"5,6"
4948,637177351,7218,grass, ,241,2.233712199558397,48.89099389984864,"5,6"
4949,637177351,7218,grass, ,241,2.233661899577044,48.89100169966878,"5,6"
4950,637188035,7218,grass, ,242,2.234503399712196,48.89120889987089,"6,6"
4951,637188035,7218,grass, ,242,2.234544600353047,48.891212900055336,"6,6"
4952,637188035,7218,grass, ,242,2.234610699624113,48.89091100034244,"6,6"
4953,637188035,7218,grass, ,242,2.234613500112971,48.89089560035171,"6,6"
4954,637188035,7218,grass, ,242,2.234573000043952,48.89089200036557,"6,6"
4955,637188035,7218,grass, ,242,2.234503399712196,48.89120889987089,"6,6"
4956,637199647,7217,scrub, ,243,2.234054799889179,48.89231660023097,"5,7"
4957,637199647,7217,scrub, ,243,2.234099099593834,48.89244709995376,"6,7"
4958,637199647,7217,scrub, ,243,2.234524200131773,48.892319200171016,"6,7"
4959,637199647,7217,scrub, ,243,2.234505399804391,48.89217109981644,"6,7"
4960,637199647,7217,scrub, ,243,2.234430599592542,48.89219519984863,"6,7"
4961,637199647,7217,scrub, ,243,2.234452999906068,48.89233059997724,"6,7"
4962,637199647,7217,scrub, ,243,2.234421500252097,48.89233999969128,"6,7"
4963,637199647,7217,scrub, ,243,2.234342400381536,48.89236330022618,"6,7"
4964,637199647,7217,scrub, ,243,2.234312800095722,48.892372100092416,"6,7"
4965,637199647,7217,scrub, ,243,2.234290600331008,48.89224039977466,"6,7"
4966,637199647,7217,scrub, ,243,2.234054799889179,48.89231660023097,"5,7"
4967,637199650,7217,scrub, ,244,2.233900600332504,48.89268419991594,"5,8"
4968,637199650,7217,scrub, ,244,2.233941399875732,48.89269339998049,"5,8"
4969,637199650,7217,scrub, ,244,2.234002499815574,48.89256300008242,"5,7"
4970,637199650,7217,scrub, ,244,2.234217499837769,48.89249670026254,"6,7"
4971,637199650,7217,scrub, ,244,2.234302900358614,48.89247039958934,"6,7"
4972,637199650,7217,scrub, ,244,2.234366399689634,48.892450799764674,"6,7"
4973,637199650,7217,scrub, ,244,2.234441600099785,48.892427599953805,"6,7"
4974,637199650,7217,scrub, ,244,2.234472300256527,48.89241810041506,"6,7"
4975,637199650,7217,scrub, ,244,2.234532599799707,48.89239949973717,"6,7"
4976,637199650,7217,scrub, ,244,2.23451579956452,48.89237410018461,"6,7"
4977,637199650,7217,scrub, ,244,2.234310600353979,48.89243849973701,"6,7"
4978,637199650,7217,scrub, ,244,2.234106900313236,48.89250249999042,"6,7"
4979,637199650,7217,scrub, ,244,2.233966300304587,48.892546699870366,"5,7"
4980,637199650,7217,scrub, ,244,2.233916500346254,48.8926507999945,"5,8"
4981,637199650,7217,scrub, ,244,2.233900600332504,48.89268419991594,"5,8"
4982,637247375,7218,grass, ,245,2.234587499813301,48.89476299991259,"6,10"
4983,637247375,7218,grass, ,245,2.234614000136048,48.894729000143286,"6,10"
4984,637247375,7218,grass, ,245,2.234727999997233,48.89464170025433,"6,10"
4985,637247375,7218,grass, ,245,2.234894299932023,48.894418600038414,"6,9"
4986,637247375,7218,grass, ,245,2.234970799862595,48.89432600044461,"6,9"
4987,637247375,7218,grass, ,245,2.235042500111319,48.89425459967009,"6,9"
4988,637247375,7218,grass, ,245,2.235102900378593,48.89420259997007,"6,9"
4989,637247375,7218,grass, ,245,2.235171899963234,48.8941532002101,"6,9"
4990,637247375,7218,grass, ,245,2.235246999649348,48.89410559999351,"6,9"
4991,637247375,7218,grass, ,245,2.235331499948813,48.894059700394905,"6,9"
4992,637247375,7218,grass, ,245,2.235418000340474,48.894018999777074,"6,9"
4993,637247375,7218,grass, ,245,2.235458899708476,48.89400070037209,"6,9"
4994,637247375,7218,grass, ,245,2.235487800321778,48.89398900019228,"7,9"
4995,637247375,7218,grass, ,245,2.235522300114099,48.893975499569706,"7,9"
4996,637247375,7218,grass, ,245,2.235555500386056,48.89396469961128,"7,9"
4997,637247375,7218,grass, ,245,2.235586300367515,48.89395529989724,"7,9"
4998,637247375,7218,grass, ,245,2.235612199943148,48.893949099971046,"7,9"
4999,637247375,7218,grass, ,245,2.235657300044409,48.89393999973123,"7,9"
5000,637247375,7218,grass, ,245,2.235659499786152,48.89393930005872,"7,9"
5001,637247375,7218,grass, ,245,2.235661099680044,48.89393860038615,"7,9"
5002,637247375,7218,grass, ,245,2.23566280029803,48.893937100316975,"7,9"
5003,637247375,7218,grass, ,245,2.235663499970599,48.893935700072575,"7,9"
5004,637247375,7218,grass, ,245,2.235663499970599,48.89393350033083,"7,9"
5005,637247375,7218,grass, ,245,2.235662599749219,48.89393129968977,"7,9"
5006,637247375,7218,grass, ,245,2.235661300228856,48.89392940032161,"7,9"
5007,637247375,7218,grass, ,245,2.23565959961087,48.8939281997267,"7,9"
5008,637247375,7218,grass, ,245,2.235657600417994,48.89392730040464,"7,9"
