grid,gird Longitude,grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"4,3",48.88871212,2.23203755,Aux Delices de Puteaux,48.8891323,2.231247872,Moroccan Restaurant
"4,3",48.88871212,2.23203755,Place des Marées,48.88785484,2.231245549,Park
"8,3",48.88871212,2.23768515,Le Forum,48.88861027,2.239037007,Bar
"8,3",48.88871212,2.23768515,Le Forum,48.88861027,2.239037007,Fast Food Restaurant
"8,3",48.88871212,2.23768515,Le Forum,48.88861027,2.239037007,Brasserie
"9,3",48.88871212,2.23909705,Le Forum,48.88861027,2.239037007,Bar
"9,3",48.88871212,2.23909705,Le Forum,48.88861027,2.239037007,Fast Food Restaurant
"9,3",48.88871212,2.23909705,Le Forum,48.88861027,2.239037007,Brasserie
"9,3",48.88871212,2.23909705,Katclara,48.88841608,2.238960564,Portuguese Restaurant
"11,3",48.88871212,2.24192085,Place de la Pyramide,48.88933916,2.242817581,Plaza
"12,3",48.88871212,2.24333275,Place de la Pyramide,48.88933916,2.242817581,Plaza
"12,3",48.88871212,2.24333275,EXKi,48.88932436,2.243983001,Sandwich Restaurant
"13,3",48.88871212,2.24474465,EXKi,48.88932436,2.243983001,Sandwich Restaurant
"14,3",48.88871212,2.24615655,Les Canailles,48.88832718,2.246578038,French Restaurant
"14,3",48.88871212,2.24615655,L'Italian Lounge at Sofitel Paris la Défense,48.8884927,2.247458738,Bar
"14,3",48.88871212,2.24615655,Starbucks,48.888367,2.247405,Coffee Shop
"14,3",48.88871212,2.24615655,Cours Michelet,48.8878764,2.247393429,Plaza
"14,3",48.88871212,2.24615655,Pasta Bella,48.887853,2.247422,Italian Restaurant
"15,3",48.88871212,2.24756845,L'Italian Lounge at Sofitel Paris la Défense,48.8884927,2.247458738,Bar
"15,3",48.88871212,2.24756845,Esplanade du Général de Gaulle,48.88860693,2.248034477,Pedestrian Plaza
"15,3",48.88871212,2.24756845,Ma Bento,48.88843762,2.247739434,Fast Food Restaurant
"15,3",48.88871212,2.24756845,Ma Bento,48.88843762,2.247739434,Japanese Restaurant
"15,3",48.88871212,2.24756845,Starbucks,48.888367,2.247405,Coffee Shop
"15,3",48.88871212,2.24756845,Pico,48.88845494,2.247789843,Diner
"15,3",48.88871212,2.24756845,Pico,48.88845494,2.247789843,Fast Food Restaurant
"15,3",48.88871212,2.24756845,Pico,48.88845494,2.247789843,Lebanese Restaurant
"15,3",48.88871212,2.24756845,Apogé,48.888249,2.248301,Wine Store
"15,3",48.88871212,2.24756845,Le Moretti,48.88905577,2.247850746,Public Art
"15,3",48.88871212,2.24756845,La Tavola at Sofitel Paris la Défense,48.88831064,2.247691154,Restaurant
"15,3",48.88871212,2.24756845,Ankka,48.88789,2.247593,Fast Food Restaurant
"15,3",48.88871212,2.24756845,Ankka,48.88789,2.247593,Salad Restaurant
"15,3",48.88871212,2.24756845,Cours Michelet,48.8878764,2.247393429,Plaza
"15,3",48.88871212,2.24756845,Duke Burger House,48.88788146,2.247835867,Bar
"15,3",48.88871212,2.24756845,Duke Burger House,48.88788146,2.247835867,Burger Joint
"15,3",48.88871212,2.24756845,Duke Burger House,48.88788146,2.247835867,Fast Food Restaurant
"15,3",48.88871212,2.24756845,Place de l'Iris,48.8893621,2.248528944,Plaza
"15,3",48.88871212,2.24756845,Les Canailles,48.88832718,2.246578038,French Restaurant
"15,3",48.88871212,2.24756845,Pasta Bella,48.887853,2.247422,Italian Restaurant
"15,3",48.88871212,2.24756845,Pizzeria Andréa,48.88792264,2.24819541,Italian Restaurant
"15,3",48.88871212,2.24756845,Story Place,48.887861,2.24829,Bar
"15,3",48.88871212,2.24756845,Story Place,48.887861,2.24829,Coffee Shop
"15,3",48.88871212,2.24756845,Story Place,48.887861,2.24829,French Restaurant
"16,3",48.88871212,2.24898035,Apogé,48.888249,2.248301,Wine Store
"16,3",48.88871212,2.24898035,Esplanade du Général de Gaulle,48.88860693,2.248034477,Pedestrian Plaza
"16,3",48.88871212,2.24898035,Les Hommes de la Cité,48.88851733,2.24962558,Sculpture Garden
"16,3",48.88871212,2.24898035,Place de l'Iris,48.8893621,2.248528944,Plaza
"16,3",48.88871212,2.24898035,Bassin Takis,48.88797203,2.25030899,Fountain
"16,3",48.88871212,2.24898035,Le Moretti,48.88905577,2.247850746,Public Art
"16,3",48.88871212,2.24898035,Ankka,48.88789,2.247593,Fast Food Restaurant
"16,3",48.88871212,2.24898035,Ankka,48.88789,2.247593,Salad Restaurant
"16,3",48.88871212,2.24898035,Story Place,48.887861,2.24829,Bar
"16,3",48.88871212,2.24898035,Story Place,48.887861,2.24829,Coffee Shop
"16,3",48.88871212,2.24898035,Story Place,48.887861,2.24829,French Restaurant
"16,3",48.88871212,2.24898035,La Tavola at Sofitel Paris la Défense,48.88831064,2.247691154,Restaurant
"16,3",48.88871212,2.24898035,Pizzeria Andréa,48.88792264,2.24819541,Italian Restaurant
"17,3",48.88871212,2.25039225,Meliá The Place,48.88848136,2.250406891,Lounge
"17,3",48.88871212,2.25039225,Meliá The Place,48.88848136,2.250406891,Restaurant
"17,3",48.88871212,2.25039225,Skyline Bar & Lounge,48.88841646,2.25058794,Hotel Bar
"17,3",48.88871212,2.25039225,Bassin Takis,48.88797203,2.25030899,Fountain
"17,3",48.88871212,2.25039225,Les Hommes de la Cité,48.88851733,2.24962558,Sculpture Garden
"17,3",48.88871212,2.25039225,Starbucks,48.88878748,2.251585722,Coffee Shop
"17,3",48.88871212,2.25039225,Nodd Bar,48.88802846,2.250850797,Bar
"18,3",48.88871212,2.25180415,Starbucks,48.88878748,2.251585722,Coffee Shop
"18,3",48.88871212,2.25180415,Place des Saisons,48.88934059,2.252132893,Plaza
"18,3",48.88871212,2.25180415,Skyline Bar & Lounge,48.88841646,2.25058794,Hotel Bar
"18,3",48.88871212,2.25180415,ibis Breakfast Room (Petit Déjeuner @ Hôtel ibis Paris La Défense Centre),48.88830712,2.252460122,Breakfast Spot
"18,3",48.88871212,2.25180415,Square Vivaldi,48.888575,2.252692,Park
"18,3",48.88871212,2.25180415,Meliá The Place,48.88848136,2.250406891,Lounge
"18,3",48.88871212,2.25180415,Meliá The Place,48.88848136,2.250406891,Restaurant
"18,3",48.88871212,2.25180415,Petit-déjeuner @ Fraser Suites,48.888076,2.252474,Breakfast Spot
"18,3",48.88871212,2.25180415,Nodd Bar,48.88802846,2.250850797,Bar
"18,3",48.88871212,2.25180415,Bistro d'Édouard,48.88956618,2.252402045,French Restaurant
"18,3",48.88871212,2.25180415,Restaurant de l'Hôtel Novotel Paris la Défense,48.888035,2.253011,Modern European Restaurant
"19,3",48.88871212,2.25321605,Square Vivaldi,48.888575,2.252692,Park
